Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,1,1,1,1,1,2,39,1
2,2,1,2,2,1,2,61,1
2,2,1,2,2,1,2,57,1
2,1,1,1,1,1,2,32,3
2,1,1,1,1,1,1,11,3
2,1,1,1,1,1,1,43,4
2,1,1,1,1,1,1,27,3
2,1,1,1,1,1,1,18,3
3,1,1,1,1,1,2,28,1
2,1,1,1,1,1,2,74,1
2,1,1,1,1,1,2,18,1
2,1,1,1,2,1,1,59,1
2,1,1,1,1,1,2,51,1
2,1,1,1,1,1,2,33,1
2,1,1,1,2,1,2,1,1
2,1,1,1,2,1,1,5,1
2,1,1,1,2,1,1,10,1
2,1,1,1,1,1,1,29,1
2,1,1,1,1,1,2,53,1
2,1,1,1,2,1,2,2,1
2,1,1,1,1,1,2,20,1
3,1,1,1,1,1,2,86,1
2,1,1,1,1,1,1,23,3
1,1,1,1,3,1,1,9,3
1,1,1,1,3,1,1,3,1
2,1,1,1,1,1,1,45,1
2,1,1,1,1,2,2,32,3
2,1,1,1,1,1,1,24,4
2,1,1,1,1,1,1,6,3
1,1,1,1,3,1,2,44,1
2,1,1,1,1,1,1,18,3
1,1,1,1,2,1,2,60,2
1,1,3,1,1,1,1,66,1
1,1,1,1,3,1,1,90,1
1,1,1,1,3,2,1,10,1
2,2,1,2,1,1,1,21,3
2,1,1,1,2,1,1,23,1
2,1,1,1,2,1,2,21,1
2,1,1,1,1,1,1,21,1
2,1,1,1,1,1,2,70,1
1,2,1,2,3,1,2,20,1
2,2,1,2,1,1,2,44,1
2,2,1,2,2,1,2,18,1
2,2,1,2,2,1,1,19,1
2,2,1,2,1,1,2,49,1
1,1,1,1,3,1,2,36,1
1,2,1,2,3,1,2,24,1
2,2,1,2,1,1,2,34,1
2,2,1,2,1,1,1,46,1
2,2,1,2,2,1,1,75,1
2,2,1,2,2,1,1,35,1
2,2,1,2,1,1,1,31,1
2,2,1,2,2,1,2,3,1
1,2,1,2,1,1,2,28,1
1,1,1,1,1,1,1,26,1
2,2,1,1,1,1,2,36,3
2,1,1,1,1,1,2,58,1
1,1,1,1,1,2,1,18,3
1,1,1,1,1,1,2,61,3
2,1,1,1,1,1,1,21,1
2,1,1,1,2,1,1,26,1
1,1,1,1,1,1,1,78,1
1,1,1,1,2,1,1,43,1
3,1,1,1,2,2,2,64,1
3,1,1,1,1,1,2,23,1
1,1,1,1,3,1,2,27,1
1,1,1,1,3,2,1,10,1
2,1,1,1,1,1,2,32,1
2,1,1,1,1,2,1,31,3
2,1,1,1,1,1,1,41,1
2,1,1,1,2,1,2,28,1
2,1,1,1,1,1,1,48,3
2,1,1,1,2,1,2,40,2
2,1,1,1,2,1,1,68,2
3,1,1,1,1,1,2,47,1
3,1,1,1,2,1,1,58,1
3,1,1,1,1,1,2,51,1
4,2,1,2,1,1,2,35,1
4,2,1,2,1,1,1,50,1
4,2,1,2,1,1,2,68,1
2,1,1,1,2,1,2,50,2
3,2,1,2,2,2,1,37,4
3,2,1,2,1,1,1,26,4
2,2,1,2,1,1,1,17,3
2,1,1,1,1,2,1,49,3
1,2,1,2,3,2,2,65,1
2,2,1,1,1,3,1,41,3
2,2,1,1,1,1,1,29,1
2,2,2,2,1,1,1,33,1
2,2,2,2,1,1,1,22,1
2,1,1,1,1,1,1,24,1
2,1,1,1,1,1,2,60,1
1,1,1,1,1,1,1,25,3
2,2,1,1,1,1,1,7,3
2,2,2,2,1,1,1,40,1
2,2,2,2,1,1,2,23,1
2,1,1,1,1,1,1,26,1
2,1,1,1,3,1,1,36,1
2,1,1,1,1,1,1,23,3
2,1,1,1,1,2,1,57,3
1,1,1,1,3,2,1,9,1
1,1,1,1,1,2,1,39,1
1,1,1,1,2,2,2,38,1
2,1,1,1,3,1,2,78,1
2,1,1,1,1,1,1,65,1
2,1,1,1,1,1,1,39,1
2,1,2,1,2,1,1,31,2
2,1,2,1,1,1,1,42,1
2,1,2,1,2,1,1,47,1
2,1,1,1,1,2,1,20,3
3,1,1,1,1,1,1,39,1
2,1,1,1,1,1,2,42,1
2,2,1,2,1,1,2,44,1
4,4,1,2,2,1,2,58,1
1,2,1,2,3,2,2,19,1
1,2,2,2,3,2,1,45,1
2,1,1,1,1,1,1,50,1
2,1,1,1,2,1,1,46,1
2,1,1,1,1,1,2,33,3
2,1,1,1,2,1,2,33,3
1,2,2,2,3,1,1,35,1
1,1,1,1,1,1,1,21,3
1,4,1,2,1,1,1,24,1
1,4,1,2,2,1,2,38,1
1,4,1,2,2,1,1,22,1
1,2,2,1,1,1,1,17,1
1,2,2,1,2,1,2,15,1
2,1,1,1,1,1,2,24,3
2,1,1,1,1,2,1,28,3
2,1,1,1,1,1,2,65,1
2,1,1,1,1,1,1,12,3
1,1,1,1,2,1,2,9,1
2,1,1,1,1,1,1,23,3
2,1,1,1,1,1,1,41,3
1,1,1,1,2,1,2,21,2
2,1,1,1,1,1,2,50,3
1,1,1,1,2,1,2,78,2
2,1,1,1,1,1,1,24,1
2,1,1,1,1,2,1,40,3
2,1,2,1,2,1,1,23,1
2,1,2,1,2,1,2,4,1
2,1,1,1,1,1,1,26,1
2,1,1,1,1,1,1,26,3
2,2,1,2,1,1,1,33,1
2,1,1,1,1,1,1,29,3
1,1,1,1,1,1,1,18,3
2,1,1,1,1,1,2,20,3
2,1,1,1,2,1,2,65,1
2,1,1,1,1,1,1,47,1
2,1,1,1,1,1,2,26,1
2,1,1,1,1,1,2,34,1
2,1,1,1,1,1,1,40,1
3,1,1,1,1,1,2,31,1
3,1,1,1,1,1,1,45,1
2,1,1,1,1,1,2,33,1
2,1,1,1,1,1,2,18,1
2,1,1,1,2,1,2,40,3
2,1,1,1,1,1,1,23,3
2,1,2,1,1,2,1,29,3
1,1,2,1,1,1,2,33,4
2,1,1,1,1,1,2,62,1
2,1,1,1,2,1,2,81,1
2,1,1,1,2,1,1,28,1
2,1,1,1,1,2,1,71,3
1,1,2,1,1,1,1,21,1
1,1,2,1,2,1,1,20,1
1,1,2,1,2,1,1,21,1
1,1,1,1,3,1,2,30,1
2,1,1,1,1,1,1,57,3
2,1,1,1,2,1,2,31,1
2,1,1,1,2,1,2,10,1
1,1,1,1,1,2,1,36,3
1,1,1,1,3,2,1,10,3
2,1,1,1,1,1,1,57,1
2,1,1,1,2,1,2,49,1
2,1,1,1,1,1,1,29,1
4,1,1,1,1,1,1,24,1
2,2,1,1,1,3,1,44,3
1,1,1,1,3,1,1,35,1
2,1,1,1,1,1,2,18,1
1,2,2,2,3,1,1,68,1
2,2,2,1,1,2,1,46,3
2,2,2,1,1,1,1,22,3
2,1,1,1,1,1,2,42,2
2,1,1,1,1,2,1,27,3
2,1,1,1,1,1,2,25,3
2,1,1,1,1,1,2,37,1
1,1,1,1,3,1,1,27,1
1,1,1,1,3,1,1,27,2
2,2,1,2,1,1,1,49,3
2,1,1,1,1,1,1,20,1
2,1,1,1,2,1,2,47,2
1,1,1,1,2,1,2,58,1
2,1,1,1,1,1,2,38,1
2,1,1,1,1,1,1,17,3
2,1,1,1,1,1,2,35,1
2,1,1,1,2,1,1,8,1
2,1,1,1,2,1,2,1,1
2,1,1,1,2,1,2,26,1
1,1,1,1,3,2,2,9,1
2,1,1,1,1,1,1,41,3
3,1,1,1,1,1,2,60,1
2,1,1,1,2,1,2,41,1
2,1,1,1,1,1,2,28,1
2,1,1,1,2,1,1,23,1
2,1,1,1,1,2,1,16,3
2,1,1,1,1,1,2,37,1
1,2,1,1,1,1,1,23,3
2,1,1,1,2,1,2,24,1
2,1,1,1,1,2,1,44,3
2,1,1,1,2,2,2,74,2
2,1,1,1,1,1,1,39,1
2,1,2,1,1,2,1,34,1
2,1,3,1,1,2,1,25,1
2,1,3,1,2,2,1,22,1
2,1,3,1,2,2,1,18,1
2,1,2,1,1,1,1,18,1
2,1,2,1,2,1,1,20,1
2,1,2,1,1,2,1,20,1
2,1,2,1,2,2,1,18,1
2,1,1,1,1,1,1,27,3
2,1,1,1,1,1,2,22,1
2,1,2,1,1,1,2,48,1
2,2,2,1,1,1,2,24,1
2,2,2,1,2,1,2,52,1
2,2,2,1,1,1,1,33,1
2,2,2,1,2,1,2,43,1
2,2,2,1,2,1,2,21,1
2,2,2,1,2,1,2,17,1
2,1,1,1,1,1,2,34,3
3,1,1,1,1,1,2,39,1
1,1,1,1,3,1,1,43,1
2,1,2,1,2,1,2,50,1
1,1,1,1,1,1,1,84,1
2,1,1,1,1,1,1,21,1
2,1,1,1,1,2,1,66,1
2,1,1,1,1,1,1,23,1
2,1,1,1,2,1,2,53,1
2,1,1,1,2,1,2,21,1
2,1,1,1,2,1,1,1,1
2,1,1,1,2,1,2,24,1
3,1,2,1,1,1,2,20,1
3,1,1,1,1,1,2,22,1
3,1,1,1,1,1,2,23,1
2,1,1,1,1,1,2,73,1
1,1,1,1,1,1,1,20,3
2,1,1,1,1,1,2,31,1
1,1,3,1,1,1,1,24,1
1,1,3,1,2,1,2,23,1
3,1,2,1,3,1,1,32,1
1,1,1,1,3,1,2,22,1
2,1,1,1,1,1,1,41,1
2,1,1,1,2,1,1,30,1
1,1,1,1,3,1,1,54,3
1,1,1,1,1,2,1,18,3
1,1,1,1,2,2,2,83,2
1,1,1,1,1,1,2,45,1
1,1,1,1,2,1,1,21,1
1,2,1,2,3,1,2,31,1
2,1,1,1,1,1,1,35,3
1,1,1,1,1,1,1,30,1
2,1,1,1,1,1,2,33,1
2,1,1,1,1,1,2,40,1
2,1,1,1,1,1,1,20,3
2,1,1,1,1,1,1,41,3
3,1,1,1,1,1,2,20,1
1,1,1,1,1,2,1,52,3
2,1,1,1,1,1,1,59,3
3,1,1,1,1,1,1,25,3
1,1,1,1,1,1,1,23,4
1,1,1,1,2,1,2,17,4
1,1,2,1,3,1,2,39,1
1,1,1,1,3,1,1,28,1
1,2,1,2,1,1,1,26,1
2,1,1,1,1,1,2,32,1
2,1,1,1,2,1,2,84,2
2,1,1,1,1,2,1,16,3
2,1,2,1,1,1,2,21,1
3,1,2,1,1,1,2,55,1
3,1,2,1,1,1,2,46,1
1,1,2,1,2,1,2,18,1
1,1,2,1,2,1,2,18,1
2,1,1,1,1,1,1,33,1
2,1,1,1,2,1,2,25,1
2,1,1,1,2,1,2,9,1
2,1,1,1,2,1,1,6,1
2,1,1,1,2,1,1,1,1
3,1,1,1,2,1,2,54,1
2,1,1,1,1,1,1,83,1
2,1,1,1,1,1,1,26,3
2,2,1,1,1,1,1,51,1
2,2,1,1,1,1,1,40,2
2,1,1,1,1,1,1,26,3
1,1,1,1,3,1,1,9,1
1,1,1,1,3,1,1,55,1
2,2,2,2,2,1,2,21,1
2,2,2,1,1,1,1,21,1
2,2,2,2,1,1,1,24,1
2,2,2,2,1,1,2,37,1
2,2,1,1,1,1,2,37,1
2,1,1,1,1,1,1,27,3
1,1,1,1,3,2,1,13,1
2,1,1,1,1,2,1,27,3
2,1,1,1,3,2,1,10,1
2,1,1,1,1,1,2,29,3
2,1,1,1,1,1,1,64,1
3,1,1,1,1,2,1,27,3
2,1,1,1,1,2,1,55,3
2,1,1,1,1,1,2,40,1
2,1,1,1,1,3,1,40,3
1,1,1,1,3,1,1,36,1
2,1,1,1,2,1,2,30,2
2,1,1,1,1,1,1,41,3
2,1,1,1,1,1,2,59,1
2,1,1,1,1,1,2,54,1
2,1,1,1,1,1,1,46,3
2,1,1,1,1,2,1,47,3
2,1,1,1,1,1,1,71,1
2,1,1,1,1,1,1,25,1
2,1,1,1,2,1,2,18,1
2,1,1,1,1,1,2,41,1
2,1,1,1,1,1,1,53,3
2,2,1,2,1,1,2,11,3
2,1,1,1,1,1,1,53,1
2,1,2,1,1,1,1,22,3
2,1,2,1,1,1,1,49,1
2,1,2,1,2,1,1,41,2
2,1,2,1,1,1,1,46,1
2,1,1,1,1,1,2,47,1
3,1,1,1,1,1,1,94,1
3,1,1,1,1,1,1,41,1
3,1,1,1,2,1,1,39,1
3,1,1,1,1,1,1,42,1
3,1,1,1,2,1,2,37,1
2,1,1,1,1,1,2,30,1
2,1,1,1,2,1,1,1,1
2,1,1,1,1,1,1,26,3
2,1,1,1,2,1,2,78,1
2,1,1,1,1,1,2,56,1
1,1,1,1,3,1,2,25,3
3,1,1,1,1,1,2,18,1
2,1,1,1,1,1,1,39,3
1,1,1,1,2,1,2,3,2
2,2,1,2,1,1,1,24,3
2,1,1,1,1,1,1,20,3
2,2,2,2,1,2,1,39,3
1,1,1,1,3,1,1,43,1
2,1,1,1,1,1,1,23,1
2,1,1,1,2,1,1,21,1
2,1,1,1,2,1,1,21,1
2,1,1,1,2,1,1,21,1
2,1,1,1,1,2,1,18,3
3,1,3,1,1,2,1,31,1
3,1,3,1,2,2,1,50,1
2,1,1,1,1,1,1,21,3
3,1,1,1,1,1,2,37,1
2,1,1,1,1,1,1,23,3
2,1,1,1,1,2,1,33,1
2,1,1,1,1,1,1,20,1
2,1,1,1,2,1,1,20,1
3,1,1,1,1,1,1,32,4
3,1,1,1,2,1,1,58,4
2,1,1,1,1,1,1,56,3
2,1,1,1,1,1,2,40,1
2,1,1,1,1,1,1,29,3
2,1,1,1,1,1,1,29,3
4,1,1,1,1,1,2,34,1
2,2,1,2,1,2,2,18,3
1,1,1,1,3,1,1,21,1
1,1,1,1,3,1,1,45,2
2,1,1,1,1,1,1,18,3
1,1,1,1,3,2,1,95,1
2,1,1,1,1,1,1,41,4
1,1,1,1,3,1,2,67,1
1,1,1,1,1,1,1,25,1
1,1,1,1,3,1,1,11,1
1,2,2,1,3,1,1,21,1
1,1,3,1,3,1,2,21,1
3,1,1,1,2,1,2,65,1
1,1,1,1,3,1,1,30,1
1,1,1,1,3,2,2,3,1
1,1,1,1,3,1,1,21,3
1,1,1,1,3,1,2,14,1
3,1,1,1,1,1,1,25,3
3,1,1,1,1,2,1,17,3
2,1,1,1,1,1,1,25,3
2,1,2,1,1,1,2,18,1
1,1,2,1,1,1,1,19,1
2,1,1,1,1,1,1,31,6
2,1,1,1,2,1,1,29,6
3,1,2,1,1,1,1,34,1
2,1,1,1,1,1,1,25,1
2,1,1,4,1,1,1,41,1
2,1,1,4,1,1,1,40,1
2,1,1,1,1,1,1,22,1
2,1,1,1,1,1,1,20,3
1,1,1,1,3,1,1,11,1
2,1,1,1,1,1,1,57,3
2,1,1,1,1,1,1,38,3
1,1,1,1,3,2,2,22,1
2,1,3,1,1,1,1,44,1
2,1,1,1,1,1,2,50,3
2,1,1,1,1,1,2,25,1
2,1,1,1,1,1,1,25,3
1,1,1,1,2,1,2,31,2
2,1,2,1,1,1,1,30,3
2,1,1,1,1,1,2,22,3
1,1,3,1,3,1,2,52,1
2,1,1,1,1,1,1,27,1
2,1,1,1,2,1,2,90,2
2,1,1,1,1,1,1,40,1
1,1,1,1,3,2,1,36,1
2,1,1,1,1,1,1,21,3
3,1,2,1,1,2,1,26,3
1,1,1,1,3,1,2,23,4
3,1,1,1,1,1,1,31,1
2,1,1,1,1,1,1,64,1
2,1,1,1,1,1,1,20,3
1,1,1,1,3,1,1,18,3
2,1,1,1,1,1,1,14,3
1,1,1,1,2,1,1,35,1
1,1,1,1,3,1,1,68,1
2,1,1,1,1,1,1,32,3
2,1,2,1,1,1,2,52,1
2,1,1,1,2,1,2,37,2
2,1,1,1,1,1,1,48,1
2,2,2,1,1,2,1,32,3
2,1,1,1,1,1,2,64,1
2,1,1,1,1,1,1,50,2
2,1,1,1,1,2,1,16,3
1,2,1,2,3,1,2,50,1
2,2,1,1,1,1,1,54,1
2,2,1,1,1,1,1,63,1
2,2,1,1,1,1,1,48,2
2,2,2,2,1,1,1,21,1
2,2,2,2,2,1,1,23,1
2,2,2,2,1,1,1,33,1
1,2,1,1,3,2,2,86,1
1,2,1,1,1,1,2,44,1
2,1,1,1,1,1,1,23,1
2,2,1,2,1,1,2,50,1
2,2,1,2,2,1,1,37,1
2,2,1,2,1,1,1,30,4
2,2,1,2,1,1,2,53,1
3,2,1,1,1,1,1,24,1
3,2,1,1,2,1,1,17,1
3,2,1,1,1,1,2,61,1
1,2,2,2,3,2,2,66,1
1,2,2,2,3,2,1,68,1
2,2,2,1,1,1,1,43,1
2,2,2,1,1,1,2,23,1
3,2,1,1,1,1,1,51,3
1,2,1,2,3,1,1,39,1
2,2,1,2,1,1,1,27,1
2,2,1,2,2,1,1,21,1
2,2,1,2,2,1,1,23,1
2,2,1,2,1,2,2,76,1
2,2,1,2,2,2,1,74,1
2,2,1,2,1,1,1,50,1
2,2,1,2,2,1,1,56,1
2,1,1,1,1,1,1,14,3
2,1,1,1,2,1,1,14,3
2,1,1,1,1,1,2,36,1
2,1,2,1,1,2,1,44,3
3,1,1,1,1,1,1,51,2
2,1,1,1,1,1,1,26,1
1,1,1,1,3,1,2,88,4
2,2,2,1,1,2,1,19,3
2,1,1,1,1,1,1,21,3
2,1,1,1,1,1,1,38,4
2,1,1,1,2,1,2,59,2
2,1,1,1,1,2,1,51,1
1,1,1,1,3,1,1,11,1
2,1,1,1,1,1,2,86,1
2,1,1,1,1,1,2,40,1
3,1,1,1,1,1,2,64,1
2,1,2,1,1,2,1,45,3
1,1,2,1,3,1,1,14,1
1,1,1,1,3,1,2,2,2
2,1,1,1,1,1,1,70,1
2,1,1,1,2,1,2,68,1
1,1,1,1,2,1,2,28,2
2,1,1,1,1,1,1,39,3
1,1,2,1,3,1,1,19,1
1,2,1,1,1,1,1,23,1
2,1,1,1,1,1,1,24,1
2,1,1,1,1,2,1,39,1
2,1,1,1,2,1,1,40,1
2,1,1,1,1,2,1,11,3
2,1,1,1,2,1,2,58,1
5,1,1,1,1,1,1,34,1
2,1,1,1,1,2,1,53,3
2,1,1,1,1,1,2,41,1
2,1,1,1,2,1,2,3,1
3,1,1,1,1,1,2,48,1
3,1,1,1,1,1,1,28,1
1,1,1,1,1,1,1,38,1
1,1,1,1,2,1,1,9,1
2,1,2,1,1,1,1,24,1
3,1,1,1,1,1,2,65,1
3,1,1,1,1,1,1,47,1
3,1,1,1,1,1,1,33,1
2,1,1,1,1,1,2,29,1
2,1,1,1,1,1,1,23,3
1,1,2,1,1,1,1,23,1
1,1,2,1,2,1,1,21,1
1,1,2,1,2,1,1,16,1
1,1,2,1,1,1,1,26,1
4,1,1,1,1,1,1,32,1
4,1,1,1,1,1,2,49,1
4,1,1,1,1,1,1,70,1
4,1,1,1,1,1,2,43,1
1,1,1,1,3,1,2,41,1
2,1,1,1,1,1,2,35,3
3,1,1,1,1,1,2,30,1
1,1,1,1,3,2,2,54,4
2,1,1,1,1,1,2,52,1
1,1,1,1,3,2,1,5,1
1,1,1,1,3,1,2,44,1
1,2,1,2,1,2,1,19,3
1,2,1,3,1,2,1,30,1
1,2,1,3,2,1,2,35,1
1,2,1,2,1,1,2,44,1
2,1,1,1,3,2,2,42,1
2,1,1,1,3,2,1,4,1
2,2,2,1,1,1,1,23,3
2,1,1,1,1,1,1,41,3
2,1,2,1,1,1,1,23,3
3,1,1,1,1,1,2,50,1
1,1,2,1,3,1,2,24,3
2,1,3,1,1,1,1,26,3
2,1,1,1,1,1,2,29,1
1,1,3,1,3,2,2,64,1
1,2,1,1,3,3,2,82,1
2,1,1,1,1,1,2,27,1
1,1,1,1,3,1,1,36,1
1,1,2,1,3,1,1,26,1
1,1,2,1,3,2,1,19,1
2,1,2,1,1,1,2,18,1
3,1,1,1,1,1,2,24,1
3,1,1,1,2,1,2,29,1
2,2,2,2,1,1,2,21,1
1,1,2,1,3,1,1,33,1
2,1,3,1,1,1,1,22,3
2,1,1,1,1,1,2,25,3
1,2,1,1,1,1,1,45,3
2,1,2,1,1,1,1,44,3
1,1,1,1,3,1,2,15,1
3,1,1,1,1,1,2,58,1
2,1,1,1,1,1,2,56,1
2,1,1,1,1,1,2,32,1
2,1,1,1,2,1,2,1,1
2,1,1,1,1,1,1,23,1
2,1,1,1,1,1,1,31,4
3,1,1,1,1,1,1,49,1
3,1,1,1,1,1,2,33,1
2,1,1,1,1,1,2,52,1
2,1,1,1,1,2,1,15,3
5,1,1,1,1,1,2,40,1
5,1,1,1,1,1,2,36,1
2,1,2,1,2,1,2,53,1
2,1,2,1,2,1,1,45,1
3,1,1,1,1,1,1,27,3
1,1,1,1,1,2,1,62,3
2,1,2,1,1,1,2,23,1
2,1,2,1,1,1,1,34,1
1,1,1,1,1,2,1,48,3
2,1,1,1,1,1,1,26,1
3,1,1,1,1,2,2,27,1
2,1,1,1,1,1,2,42,1
3,1,2,1,1,1,1,37,3
2,1,1,1,2,1,2,28,1
3,1,1,1,2,1,2,35,2
3,1,1,1,2,1,2,5,2
3,1,1,1,2,1,2,44,1
2,1,2,1,1,1,2,31,3
2,1,2,1,1,1,1,26,1
2,1,2,1,1,1,2,23,1
2,1,2,1,1,1,2,50,3
1,1,2,1,1,1,1,32,4
2,2,2,1,1,2,1,22,3
1,2,1,2,3,1,2,85,1
1,1,2,1,3,1,2,51,1
2,1,1,1,1,1,2,56,1
2,1,1,1,1,1,1,54,1
2,1,1,1,2,1,2,74,1
1,1,1,1,3,1,2,18,1
1,1,1,1,3,1,1,25,1
2,1,1,1,1,1,1,16,3
2,1,1,1,1,2,1,49,3
3,1,1,1,2,1,2,27,1
6,1,2,1,1,1,1,46,1
6,1,2,1,1,1,1,52,1
6,1,2,1,2,1,2,26,1
6,1,2,1,2,1,2,17,1
2,4,2,1,1,1,1,33,1
2,4,2,1,1,1,2,20,1
2,4,2,1,2,1,1,18,1
3,1,1,1,1,1,1,17,3
1,1,1,1,3,2,2,27,2
2,1,1,1,1,1,1,50,1
3,1,1,1,1,1,2,40,1
2,2,1,1,2,1,1,4,1
2,1,1,1,1,1,2,82,1
1,1,1,1,3,1,1,68,1
2,1,1,1,1,1,1,24,1
2,1,1,1,1,1,1,26,1
2,2,1,1,1,1,2,55,1
2,2,1,1,2,1,2,26,1
2,2,1,1,2,1,2,19,1
2,2,1,1,2,1,1,10,1
2,2,1,1,1,1,2,29,1
2,2,1,1,1,1,2,18,1
2,2,1,1,1,1,1,23,1
2,2,1,1,2,1,1,45,1
2,1,2,1,1,1,1,47,1
2,1,2,1,2,1,2,13,1
1,2,2,2,2,1,1,21,1
1,2,2,2,1,2,1,29,1
2,2,1,2,1,1,2,54,3
2,2,1,2,1,1,1,21,3
2,1,1,1,1,1,2,31,1
1,1,2,1,3,2,1,20,1
2,2,3,2,1,1,1,21,4
2,2,2,1,1,1,1,15,3
2,1,1,2,1,1,2,38,1
1,2,1,1,3,1,1,60,1
2,2,1,2,2,1,2,64,1
2,2,1,2,2,1,2,75,2
2,2,1,2,2,1,1,28,1
2,2,1,2,1,1,2,20,3
2,1,1,1,1,1,1,19,1
2,1,1,1,2,1,2,18,1
2,1,1,1,1,1,1,20,1
2,2,2,1,1,1,1,16,3
2,1,2,1,1,1,1,28,1
2,1,2,1,2,1,2,19,1
2,2,2,1,1,2,1,20,3
2,1,1,1,1,2,1,28,3
2,2,1,1,1,1,1,24,1
1,1,1,1,1,2,1,22,3
2,1,1,1,2,1,2,13,1
2,1,1,1,2,1,2,12,1
1,2,1,2,2,1,1,46,2
2,1,1,1,2,1,1,80,2
2,1,1,1,2,1,2,70,2
1,1,2,1,1,1,2,28,3
1,2,3,1,1,1,1,24,1
2,1,1,1,1,1,2,25,1
2,1,1,1,3,1,1,30,1
1,1,1,1,3,1,2,23,1
1,1,2,1,3,1,2,33,1
2,2,2,1,2,1,1,50,1
5,1,2,1,2,1,1,8,1
2,1,1,1,1,2,1,23,3
1,2,2,1,3,1,1,28,1
1,2,2,4,3,3,1,22,1
2,1,1,1,2,1,1,27,1
2,1,1,1,1,1,1,45,1
2,1,1,1,1,1,1,36,1
1,1,1,1,3,1,1,13,1
4,1,1,1,1,1,2,38,1
4,1,1,1,1,1,1,47,4
4,1,1,1,1,1,1,45,1
3,2,2,4,1,1,1,53,1
3,2,2,4,1,1,1,43,1
3,2,2,4,1,1,2,19,1
1,1,2,4,3,1,1,14,1
1,1,2,4,3,1,1,15,1
2,2,2,4,1,1,1,38,1
2,2,1,1,1,1,1,20,1
2,2,1,1,1,1,1,23,1
2,2,1,4,1,1,1,36,3
2,2,1,1,1,1,2,83,1
1,2,1,1,1,1,1,33,1
2,1,2,1,1,1,1,55,1
2,1,2,1,1,1,1,30,3
2,1,1,1,2,1,1,18,1
2,1,1,1,1,1,1,57,2
2,1,1,1,1,1,2,45,1
2,1,2,1,1,1,1,24,1
2,1,2,1,1,1,1,40,3
2,1,2,1,2,1,1,16,1
1,1,2,1,2,1,2,62,2
2,2,1,1,1,1,1,31,1
1,1,1,1,3,2,1,71,1
2,2,1,2,1,3,1,75,1
2,2,1,2,2,2,2,72,1
4,2,1,2,1,1,1,28,1
4,2,2,5,1,2,2,35,1
4,2,2,5,1,1,1,47,4
4,2,2,5,1,1,1,55,1
4,2,2,5,1,1,1,53,4
1,2,2,1,3,1,1,25,1
2,2,1,1,1,1,1,24,3
2,2,1,2,1,1,1,33,1
2,2,1,2,2,1,2,17,1
2,2,1,2,2,1,2,17,1
2,2,1,2,1,1,1,56,1
2,2,2,1,1,1,2,47,1
1,2,1,2,3,1,1,56,4
2,2,2,1,1,2,1,13,3
2,1,1,1,1,1,2,20,1
2,1,1,1,2,1,1,18,1
1,4,1,2,1,1,1,31,1
1,4,1,2,2,1,2,26,1
2,1,1,1,2,1,1,7,1
2,1,1,1,1,1,1,42,1
2,2,1,1,2,1,2,18,1
1,1,1,1,3,1,2,24,1
2,2,2,1,1,2,1,29,3
2,1,2,1,1,1,1,22,1
1,1,3,1,3,1,2,34,1
1,1,3,1,3,1,2,15,1
2,1,2,1,1,1,2,50,1
1,2,2,2,1,1,2,25,1
1,2,2,2,2,1,1,29,1
1,2,2,2,2,1,2,26,1
2,1,1,1,1,1,1,29,1
2,2,1,1,1,1,1,30,1
2,2,1,1,2,1,1,45,1
2,2,1,1,2,1,1,80,2
2,2,1,1,2,1,1,75,2
2,2,1,1,2,1,1,74,2
2,2,1,1,2,1,1,90,2
2,2,1,1,1,1,1,53,2
1,2,1,2,1,1,2,19,1
2,2,2,2,1,1,1,29,3
2,2,1,3,1,1,1,51,4
2,2,1,2,1,1,1,54,1
2,1,1,1,1,1,2,30,1
2,2,1,1,1,1,1,36,3
1,1,1,1,3,1,2,12,1
1,1,2,1,2,1,1,75,2
1,1,1,1,3,1,2,35,1
2,1,1,1,1,1,2,45,1
1,1,1,1,3,2,1,8,1
2,1,1,1,1,1,2,25,1
2,1,1,1,1,1,2,50,1
2,2,2,3,1,1,1,12,3
2,1,2,1,1,1,1,21,3
2,2,2,3,1,2,1,24,3
2,2,2,3,1,1,1,65,1
2,2,2,3,2,1,1,62,1
2,2,1,2,1,1,1,47,1
2,1,1,1,1,1,1,18,1
2,1,1,1,1,1,1,20,1
2,1,1,1,1,1,2,48,1
2,1,1,1,2,1,1,11,4
2,1,1,1,1,1,2,32,1
2,1,1,1,1,1,1,22,1
2,1,1,1,2,1,1,22,1
2,1,1,1,2,1,1,22,1
1,1,1,1,1,1,1,42,1
2,2,1,1,1,1,2,58,1
2,2,1,1,2,1,2,60,1
2,2,1,1,1,1,1,53,1
2,2,2,3,1,1,2,28,1
2,2,1,1,1,1,1,22,1
1,2,1,3,3,1,2,19,4
1,2,2,3,3,1,1,22,1
3,2,2,3,1,1,1,30,1
1,2,2,2,1,1,2,79,1
2,2,2,3,1,1,2,49,3
2,2,2,3,1,1,2,27,1
2,2,2,3,1,1,2,60,1
2,2,2,3,2,1,1,39,1
2,2,2,3,2,1,1,9,1
3,2,1,3,1,1,1,34,1
1,2,2,2,2,1,1,22,1
2,2,2,3,1,1,1,20,1
1,2,1,2,3,2,1,81,1
1,2,2,3,3,1,2,21,1
