Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,2,2,1,1,1,1,33,1
1,2,2,1,2,1,2,33,1
1,2,1,1,3,1,1,64,1
1,2,3,1,3,1,2,25,1
2,2,1,1,1,2,1,21,1
2,2,1,1,2,2,1,24,1
2,2,1,1,1,2,2,26,1
2,2,1,1,2,2,1,34,1
1,1,1,1,3,1,2,12,4
3,2,2,1,1,1,2,44,1
1,2,2,1,3,1,2,21,1
2,1,1,1,1,1,2,32,3
3,1,1,1,1,1,2,55,3
1,1,1,1,2,1,2,74,2
1,1,3,1,1,1,2,20,1
1,2,2,1,1,1,1,18,1
1,2,2,1,2,1,1,18,1
1,2,2,1,2,1,1,18,1
1,2,2,2,1,2,1,46,1
2,1,1,1,1,1,1,62,1
2,2,1,1,1,1,2,29,3
2,1,2,1,1,1,1,29,3
1,1,1,1,3,1,1,18,1
1,1,1,1,1,1,1,51,1
1,1,2,1,3,2,2,19,1
1,1,2,1,3,1,1,20,1
1,2,1,1,1,1,1,25,3
2,1,1,1,1,1,2,19,3
2,1,1,1,1,1,1,29,1
2,1,1,1,1,1,1,26,1
2,1,1,1,1,1,2,29,1
2,2,3,1,1,2,1,52,1
2,2,3,1,2,1,1,10,1
2,2,3,1,1,1,1,32,1
2,2,3,1,2,1,2,21,1
2,2,3,1,2,2,1,8,1
2,2,3,1,2,1,1,11,1
2,2,3,1,2,1,2,6,1
1,1,1,1,2,1,2,82,2
1,1,1,1,1,2,1,51,4
3,1,1,1,1,1,1,40,1
3,1,1,1,1,1,2,47,1
3,1,1,1,1,1,2,40,1
1,4,1,2,1,1,1,39,1
1,2,1,2,3,1,2,48,1
2,2,2,1,1,2,2,25,3
2,1,1,1,1,1,2,40,1
2,1,1,1,1,1,1,28,4
1,1,1,1,3,1,2,45,2
2,1,1,1,1,1,2,67,3
1,2,2,1,3,2,1,53,1
2,1,3,1,1,2,2,28,1
2,1,1,1,1,1,1,45,4
1,1,1,1,3,1,1,78,1
1,2,1,1,1,1,1,26,1
1,2,1,1,2,1,2,27,1
1,1,2,1,3,1,1,44,1
2,2,2,2,1,1,1,53,1
2,2,2,2,1,1,2,43,1
2,2,2,2,2,1,1,14,1
2,2,2,2,2,1,1,13,1
3,2,1,1,1,1,1,29,1
3,2,1,1,1,1,2,50,2
3,2,1,1,2,1,2,22,2
3,2,1,1,2,1,2,34,2
2,1,1,1,1,1,1,28,1
2,1,1,1,1,1,1,46,1
1,1,1,1,3,1,2,24,1
1,1,2,1,1,2,1,39,4
2,1,1,1,2,1,2,44,2
2,1,1,1,1,1,2,27,1
2,1,1,1,1,1,2,42,1
2,2,2,1,1,1,1,21,1
2,2,2,1,2,1,2,52,1
2,2,2,1,2,1,2,26,1
2,2,2,1,1,1,1,32,1
2,2,2,1,2,1,2,39,1
2,2,2,1,2,1,2,35,1
2,2,1,1,1,1,1,20,1
2,2,1,1,1,1,2,48,1
2,2,1,1,1,1,1,45,3
1,2,1,1,3,2,1,20,4
2,1,1,1,1,1,1,24,4
2,1,1,1,2,1,1,31,4
7,1,1,1,1,1,1,20,1
7,1,1,1,2,1,1,46,1
7,1,1,1,1,1,2,37,1
7,1,1,1,1,1,1,39,1
7,1,1,1,2,1,1,22,1
2,1,2,1,2,1,1,6,1
2,2,2,1,1,1,1,35,1
3,1,1,1,1,1,2,45,1
3,1,1,1,1,1,1,28,1
3,1,1,1,2,1,1,25,1
1,1,2,1,1,1,1,48,3
1,1,2,1,1,1,1,40,1
2,1,2,1,3,1,1,20,1
2,2,1,1,1,1,1,36,1
2,1,1,1,1,1,2,20,3
2,1,2,1,1,1,2,54,1
2,1,2,1,2,1,2,90,1
2,2,1,3,1,2,1,20,3
1,1,1,1,3,2,2,90,3
1,1,1,2,3,1,2,39,1
3,2,1,1,1,1,2,31,1
3,2,1,1,2,1,2,57,1
1,3,1,4,1,1,2,38,1
2,2,1,3,2,1,1,15,1
2,2,1,3,1,1,1,43,1
3,3,1,4,1,1,2,60,1
3,3,1,4,2,2,2,82,1
3,3,1,4,1,1,1,80,1
3,3,1,4,1,1,1,44,1
2,1,1,1,2,1,1,2,1
2,1,1,1,2,1,2,91,1
1,2,2,1,3,1,1,59,4
5,2,1,2,2,1,1,19,1
2,1,1,1,1,1,1,24,1
2,1,1,1,1,1,2,42,1
2,1,1,1,1,1,1,83,1
2,1,1,1,2,1,2,60,1
2,1,1,1,1,1,1,42,3
3,1,1,1,1,1,1,62,1
3,1,1,1,1,1,2,23,1
2,2,1,2,1,1,1,57,1
3,1,1,1,1,1,1,82,1
2,1,1,1,1,1,1,26,3
2,1,1,1,1,1,2,43,1
2,1,2,1,1,1,1,50,3
2,1,1,1,1,1,2,23,1
3,1,1,1,1,1,1,20,3
3,1,1,1,1,1,2,19,3
2,1,1,1,1,1,1,25,1
1,1,1,1,2,1,2,60,2
1,1,1,1,1,1,2,60,1
1,1,1,1,2,1,1,46,2
2,1,2,1,1,1,2,39,1
2,1,1,1,1,1,2,43,1
2,1,1,1,1,1,1,57,1
2,1,1,1,1,2,1,21,1
2,1,1,1,2,1,1,24,1
1,1,1,1,3,1,2,3,1
2,1,1,1,1,1,1,38,4
2,1,2,1,1,1,1,26,1
1,1,2,1,3,1,1,20,1
1,1,1,1,1,2,1,21,1
1,1,1,1,2,3,1,14,1
1,1,1,1,2,3,1,13,1
1,1,1,1,2,2,1,15,1
1,1,1,1,2,2,1,14,1
2,1,1,1,1,2,1,29,3
1,1,1,1,2,1,2,84,2
2,1,1,1,1,1,1,46,1
2,1,2,1,1,1,2,57,1
2,1,1,1,1,1,2,28,3
2,1,2,1,1,1,1,49,1
4,1,2,1,2,1,2,40,1
2,1,1,1,1,1,1,43,3
2,1,1,1,1,1,1,34,4
2,1,1,1,1,1,1,28,3
2,1,1,1,1,1,1,45,3
2,1,2,1,1,1,1,40,3
2,1,2,1,1,1,1,34,3
1,1,1,1,3,2,1,32,1
2,1,2,1,1,1,2,37,1
2,1,2,1,2,1,1,42,1
1,1,2,1,3,1,2,18,1
2,1,1,1,1,1,1,36,4
2,1,1,1,1,1,2,37,1
1,1,1,1,3,1,1,14,1
1,1,1,1,2,1,1,33,3
1,1,1,1,1,1,1,17,3
2,1,1,1,1,1,2,34,1
2,1,1,1,1,1,2,52,1
2,1,1,1,2,1,2,47,1
2,2,2,1,1,1,1,43,1
2,2,2,1,2,1,2,43,1
1,1,1,1,3,1,2,26,2
1,1,1,1,3,1,1,7,1
3,1,1,1,1,1,1,29,1
3,1,1,1,1,1,2,25,1
2,1,2,1,1,2,1,15,3
1,1,2,1,3,1,1,30,1
2,1,1,1,2,1,1,22,1
4,1,1,1,1,1,1,46,1
2,1,1,1,1,1,1,43,3
2,1,1,1,3,1,2,38,1
2,1,1,1,1,2,1,72,1
2,2,1,1,1,1,1,24,3
1,1,2,1,2,1,2,19,1
2,1,2,1,1,1,2,54,1
2,1,2,1,1,1,2,64,1
3,1,3,1,1,1,1,66,1
3,1,3,1,1,1,1,21,1
2,1,1,1,1,1,1,25,3
3,1,1,1,1,1,1,58,3
1,1,1,1,2,1,2,40,2
2,1,1,1,1,1,1,17,3
2,1,1,1,1,1,1,35,3
